question,contexts,ground_truth,evolution_type,metadata,episode_done
"Warum ist es wichtig, den Kunden über eine Krankheit zu informieren?","['🤒 Bei Krankheit\nBei wem & wann muss ich mich melden?\nKrank ist jeder mal! Wir wollen, dass Du Dich ausruhst wenn Du krank bist. Für uns ist es sehr wichtig, dass Du\nDich vollständig erholen kannst.\n1. Back Office und Teamleads\nMelde Dich bitte, sobald Du dich nicht in der Lage fühlst zu arbeiten, an Michaela ( personal@skillbyte.de\n), sodass wir Bescheid wissen. Deine Krankheitstage werden dann in Moco erfasst. Nimm bitte auch\ndein/e Teamleads mit in cc, wenn du dich krankmeldest.\nSobald du ein Attest hast und du somit weißt wie lange du ausfällst, teile es Michaela bitte mit.\n2. Beim Kunden\nNicht weniger wichtig ist es auch beim Kunden Bescheid zu geben, dass Du krank bist und das natürlich\nauch direkt von Tag 1 an. Damit der Kunde darüber informiert ist, dass Du das Projekt vorerst nicht weiter\nUnterstützen kann.\nSobald du ein Attest hast, teile bitte deine Ausfallzeit deinem Kunden mit, damit dieser vernünftig planen\nkann.\nAb wann brauche ich ein Attest?\nZum Arzt geht keiner gern… Jedoch brauchen wir ab einem gewissen Zeitpunkt ein Attest von dir.\nEin Attest brauchst du spätestens ab dem dritten Krankheitstag, jedoch behalten wir uns vor dies auch früher\nanzufordern. Meldest du dich am Freitag krank musst du Montag ein Attest vorlegen.\nBitte melde deine Krankheitstag dann auch an Michaela ( personal@skillbyte.de), weil wir es für unsere Back\nOffice Prozesse benötigen.\nRückmeldung (Wichtig)\nWenn du wieder Gesund bist…ist auch, dass du dich wieder zurückmeldest wenn du wieder gesund bist.auch\neine Nachricht an\xa0personal@skillbyte.de und an deinem Teamlead.du gerade aktiv im L&D bist, bitte auch eine\nkurze Rückmeldung an Kevin.\n26.07.24, 11:33\nfile:///home/andreas/Dokumente/Skillbyte/html/bei-krankheit.md.html\n1/1']","Es ist wichtig, den Kunden über eine Krankheit zu informieren, damit dieser darüber Bescheid weiß, dass Du das Projekt vorerst nicht weiter unterstützen kannst. Dies sollte direkt ab dem ersten Krankheitstag geschehen, um dem Kunden zu ermöglichen, vernünftig zu planen.",simple,"[{'source': './test_dataset/bei-krankheit.md.pdf', 'file_path': './test_dataset/bei-krankheit.md.pdf', 'page': 1, 'total_pages': 1, 'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Chromium', 'producer': 'Skia/PDF m126', 'creationDate': ""D:20240726093349+00'00'"", 'modDate': ""D:20240726093349+00'00'"", 'trapped': ''}]",True
Was sind die Vorteile einer Mitgliedschaft im Urban Sports Club?,"['🥎 Urban-Sports Mitgliedschaft\nWas ist Urban Sports?\nDer Urban Sports Club ist eine Mitgliedschaftsplattform mit Zugang zu einer vielfältigen Auswahl an Sport- und\nFitnessaktivitäten an verschiedenen Standorten und Zeiten. Eine Mitgliedschaft ermöglicht es den Nutzern, ihre\nGesundheit zu fördern, neue Sportarten auszuprobieren und eine ausgewogene Work-Life-Balance zu erreichen.\nWas bringt Dir Urban Sports?\n1. Vielfältige Sportmöglichkeiten: Mit der Mitgliedschaft kannst du aus einer breiten Palette von Sportarten\nund Aktivitäten wählen. Entdecke neue Interessen und probiere verschiedene Aktivitäten aus, die dich\nbegeistern.\n2. Gesundheit und Wohlbefinden: Genieße die regelmäßige sportliche Betätigung, um deine körperliche\nGesundheit zu fördern und Stress abzubauen. Du wirst dich sowohl körperlich als auch mental besser\nfühlen.\n3. Flexibilität: Wähle aus vielen verschiedenen Standorten und Zeiten, um Sport in deinen Arbeitsalltag zu\nintegrieren und eine bessere Work-Life-Balance zu erreichen.\n4. Gemeinschaft und Teambuilding: Nutze die Möglichkeit, gemeinsam mit deinen Kollegen sportliche\nAktivitäten zu unternehmen. Das stärkt das Gemeinschaftsgefühl im Team und fördert den Zusammenhalt.\n5. Gesundheitsprävention: Durch die regelmäßige Bewegung und sportliche Betätigung kannst du aktiv\netwas für deine Gesundheit tun und das Risiko von krankheitsbedingten Fehlzeiten reduzieren.\n6. Neue Interessen entdecken: Mit Urban Sports Club hast du die Chance, dich sportlich auszuprobieren und\nneue Sportarten oder Aktivitäten zu entdecken, die du sonst vielleicht nicht ausprobiert hättest.\n7. Kostenersparnis: Die Mitgliedschaft bietet dir Zugang zu einer Vielzahl von Sportangeboten zu einem\nfesten monatlichen Beitrag. Dadurch kannst du im Vergleich zu einzelnen Mitgliedschaften in\nFitnessstudios oder Sportvereinen Kosten sparen.\nInsgesamt ist die Urban Sports Club-Mitgliedschaft eine tolle Zusatzleistung, die deine Lebensqualität verbessert\nund dich in deinem sportlichen Engagement unterstützt. Nutze diese Gelegenheit, um aktiv und gesund zu\nbleiben, während du gleichzeitig neue Sportarten und Aktivitäten entdeckst!\nskillbytes Angebot für Dich\nDen Anteil, der von skillbyte finanziert wird, findet Ihr auf eurer Abrechnung im Rahmen des Sachbezugs, dieser\nist steuer- und sozialversicherungsfrei.\nIhr könntet mit der Mitgliedschaft M starten, euren Anteil von 9,90 € würdet ihr direkt mit dem Urban Sports\nClub abrechnen. Weiterhin gibt es die Mitgliedschaft L, hier wäre euer Anteil 49,90 €, und die Mitgliedschaft\nXL, mit eurem Anteil von 79,90 €.\nDie Mindestlaufzeit beträgt einen Monat, mit einer Kündigungsfrist von einem Monat.\nBei Firmenkooperationen ist die Nut']","Die Vorteile einer Mitgliedschaft im Urban Sports Club umfassen: 1. Vielfältige Sportmöglichkeiten, die es den Nutzern ermöglichen, aus einer breiten Palette von Sportarten und Aktivitäten zu wählen. 2. Gesundheit und Wohlbefinden durch regelmäßige sportliche Betätigung, die die körperliche Gesundheit fördert und Stress abbaut. 3. Flexibilität bei der Wahl von Standorten und Zeiten, um Sport in den Arbeitsalltag zu integrieren. 4. Gemeinschaft und Teambuilding durch gemeinsame sportliche Aktivitäten mit Kollegen. 5. Gesundheitsprävention durch regelmäßige Bewegung, die das Risiko von krankheitsbedingten Fehlzeiten reduziert. 6. Die Möglichkeit, neue Interessen zu entdecken und verschiedene Sportarten auszuprobieren. 7. Kostenersparnis durch Zugang zu einer Vielzahl von Sportangeboten zu einem festen monatlichen Beitrag.",simple,"[{'source': './test_dataset/urban-sports-mitgliedschaft.md.pdf', 'file_path': './test_dataset/urban-sports-mitgliedschaft.md.pdf', 'page': 1, 'total_pages': 2, 'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Chromium', 'producer': 'Skia/PDF m126', 'creationDate': ""D:20240726093357+00'00'"", 'modDate': ""D:20240726093357+00'00'"", 'trapped': ''}]",True
Wo findet man den Anmeldelink für den Urban Sports Club?,"['Anmelden könnt ihr euch unter dem folgenden Link:\nhttps://urbansportsclub.com/de/skillbyte\nAnders als zum Beispiel beim Jobrad, könnt ihr das Angebot auch währen der Probezeit nutzen.\nWICHTIG!oder kündigt ihr eure Mitgliedschaft im Urban Sports Club müsst ihr dies Michaela melden.\nBei Fragen an Michaela wenden (michaela.gabelt@skillbyte.de).\n26.07.24, 11:33\nfile:///home/andreas/Dokumente/Skillbyte/html/urban-sports-mitgliedschaft.md.html\n2/2']",Der Anmeldelink für den Urban Sports Club findet sich unter https://urbansportsclub.com/de/skillbyte.,simple,"[{'source': './test_dataset/urban-sports-mitgliedschaft.md.pdf', 'file_path': './test_dataset/urban-sports-mitgliedschaft.md.pdf', 'page': 2, 'total_pages': 2, 'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Chromium', 'producer': 'Skia/PDF m126', 'creationDate': ""D:20240726093357+00'00'"", 'modDate': ""D:20240726093357+00'00'"", 'trapped': ''}]",True
Welche Rolle spielen die Teamleads bei der Handhabung von Überstunden bei skillbyte?,"['😵 Überstunden\nUnsere Einstellung zu Überstunden\nÜberstunden bei skillbyte sind eher Ausnahme und das soll auch so bleiben!\nSind es wirklich nur Ausnahmen?\nGanz klares ja, der Großteil unseres Teams macht keine Überstunden. Das bedeutet nicht, dass es zu\nProjektspitzen nicht zu ein paar Überstunden kommen könnte, aber es bleibt dennoch eher eine Ausnahme als die\nRegel. Auch für diese Fälle ist gesorgt, wie du im nächsten Topic sehen wirst.\nWas ist, wenn der Kunde dauerhaft\xa0Überstunden fordert?\nDu bist Teil der skillbyte und das bedeutet, dass kein Kunde der Welt von dir dauerhaft Überstunden einfordern\ndarf.\nWas bedeutet das konkret für dich und wie sollst du dich verhalten, wenn dieser Fall eintreten sollte?\nGanz einfach, wende dich an deine Teamleads und teile ihnen mit, wenn du zu stark beanspruchst wirst. Diese\nwenden sich dann an Phillip oder Masiar (je nach Kundenzugehörigkeit) und teilen dem Kunden mit, dass er dies\nbitte unterlassen soll. Wir schrecken keinesfalls davor zurück, wenn sich der Kunde nicht einsichtig zeigt, das\nProjekt platzen zu lassen. Euer Wohlbefinden steht ganz oben auf unserer Prioritätenliste, dafür lassen wir auch\nGeld liegen.\n100% Überstunden Bezahlung\nBei skillbyte werden alle Überstunden bezahlt oder kompensiert, alles andere wäre unserer Meinung nach nicht\nfair.\nDu entscheidest, ob du deine Überstunden lieber ausgezahlt bekommst oder sie mit freier Zeit abbummeln\nmöchtest. Beide Varianten sind für uns vollkommen fein!\nDu trägst deine Überstunden einfach mit in Moco ein. Bitte beachte dabei, sofern du keine internen Aufgaben\nhast, dass deine Überstunden auch beim Kunden gebucht sein müssen.\n26.07.24, 11:33\nfile:///home/andreas/Dokumente/Skillbyte/html/uberstunden.md.html\n1/1']","Die Teamleads spielen eine entscheidende Rolle bei der Handhabung von Überstunden bei skillbyte. Wenn ein Mitarbeiter zu stark beansprucht wird oder der Kunde dauerhaft Überstunden fordert, sollte der Mitarbeiter sich an seine Teamleads wenden. Diese Teamleads sind dann verantwortlich dafür, den Kunden darüber zu informieren, dass er dies bitte unterlassen soll. Sollte der Kunde nicht einsichtig sein, sind die Teamleads bereit, das Projekt platzen zu lassen, um das Wohlbefinden der Mitarbeiter zu schützen.",simple,"[{'source': './test_dataset/uberstunden.md.pdf', 'file_path': './test_dataset/uberstunden.md.pdf', 'page': 1, 'total_pages': 1, 'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Chromium', 'producer': 'Skia/PDF m126', 'creationDate': ""D:20240726093357+00'00'"", 'modDate': ""D:20240726093357+00'00'"", 'trapped': ''}]",True
Warum sind Belege wichtig für den Prozess der Kostenerstattung?,"['Prozess für Kostenerstattung\nHier erfährst Du wie du die Kosten für eine Dienstreise zurückerstattest bekommst und wer dein\nAnsprechpartner ist. Die Kostenrückerstattungen laufen über Michaela. Es gibt zwei Möglichkeiten wie der\nProzess für die Kostenrückerstattung ablaufen.\nVariante 1\nZahlst Du Deine Tickets und dein Hotel (100€ Grenze pro Nacht), hebst die Belege (WICHTIG) und reichst sie\nbei Michaela ein.\nMichaela wird Dir dann die aufgewendete Summe erstatten und auf dein Konto überweisen.\nVariante 2\nGibst du Michaela Bescheid und schickst Ihr die Tickets und Hotel welches du für deine Dienstreise ausgesucht\nhast und bittest sie die jeweiligen Buchungen vorzunehmen.\n26.07.24, 11:33\nfile:///home/andreas/Dokumente/Skillbyte/html/dienstreisen.md.html\n2/2']","Belege sind wichtig für den Prozess der Kostenerstattung, da sie als Nachweis für die angefallenen Kosten dienen, die bei Michaela eingereicht werden müssen, um eine Erstattung zu erhalten.",simple,"[{'source': './test_dataset/dienstreisen.md.pdf', 'file_path': './test_dataset/dienstreisen.md.pdf', 'page': 2, 'total_pages': 2, 'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Chromium', 'producer': 'Skia/PDF m126', 'creationDate': ""D:20240726093350+00'00'"", 'modDate': ""D:20240726093350+00'00'"", 'trapped': ''}]",True
Was ist das Ziel der Contentgenerierung mit Exali für GravityCV?,"['#1 Die ersten News!\n17. April 2023\nLiebes Team,\nab sofort möchten wir 1x im Monat einen Newsletter verschicken, der euch über wichtige Begebenheiten\ninformiert. Ursprünglich war dafür das letzte Freitagsmeeting im Monat angedacht. Doch mit der zunehmenden\nMitarbeiterzahl wird es schwieriger, da nicht immer alle anwesend sein können. Um sicherzustellen, dass\nInformationen nicht verloren gehen, haben wir uns für diesen Weg entschieden.\nVersandzeitpunkt: Grundsätzlich am Ende des Monats, jedoch wird es aus gegebenem Anlass dieses Mal\nvorgezogen.\nLegende\n👨🏼\u200d🦰 Personelle Veränderungen\n👉 Generelle Informationen\n🎉 Achievements\n💣 Breaking News\nPersonelle Veränderungen & Breaking News\nFür die Big Data Abteilung konnten wir Max und Andreas als Nachfolger gewinnen, die ab sofort die\nAufgaben von Maurice übernehmen. Sie werden sich zeitnah mit den einzelnen Kollegen aus der\nAbteilung austauschen. Herzlichen Dank an Max und Andreas für die Übernahme.\nGenerelle Informationen\nWir arbeiten jetzt an der Ausarbeitung von “Bench Development” und “Learning & Development\n(L&D)”. Ziel ist es, einen Plan zur Bildung und Förderung bestimmter Skills zu haben und einen Ansatz\nfür die Fortbildung junger oder junger Mitarbeiter zu entwickeln. Ceyhan wird sich verantwortlich um\ndieses Thema kümmern – vielen Dank dafür, Ceyhan!\nExali (IT Haftpflicht) wurde als Content Partner für GravityCV gewonnen. Es wird eine gegenseitige\nContentgenerierung geben, beginnend mit Features in unseren jeweiligen Podcast-Serien.\nDie Fortführung der skillbyte Podcasts ist geplant, allerdings mit niedrigerer Frequenz als bisher. Ideen\nund Mitwirkende sind herzlich willkommen.\nUnsere Bemühungen, über LinkedIn neue Kunden zu gewinnen, waren bislang nicht so erfolgreich. Wir\nplanen, 2023 mehr auf Content und Authority Marketing zu setzen, um unsere Sichtbarkeit zu erhöhen.\nAchievements\nMihail hat das CKA Zertifikat erfolgreich absolviert und die Prüfung bestanden. Herzlichen\nGlückwunsch, Mihail!\nPersonelle Veränderungen & Breaking News\nLeider wird uns Atti verlassen. Die Entfernung zum Office ist für den Wunsch nach mehr Büroarbeit zu\ngroß. Wir sind sehr traurig über diesen Weggang, wünschen Atti aber alles Gute für die Zukunft.\n26.07.24, 11:33\nfile:///home/andreas/Dokumente/Skillbyte/html/1-die-ersten-news.md.html\n1/2']","Das Ziel der Contentgenerierung mit Exali für GravityCV ist eine gegenseitige Contentgenerierung, beginnend mit Features in unseren jeweiligen Podcast-Serien.",simple,"[{'source': './test_dataset/1-die-ersten-news.md.pdf', 'file_path': './test_dataset/1-die-ersten-news.md.pdf', 'page': 1, 'total_pages': 2, 'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Chromium', 'producer': 'Skia/PDF m126', 'creationDate': ""D:20240726093344+00'00'"", 'modDate': ""D:20240726093344+00'00'"", 'trapped': ''}]",True
Welche Vorteile bietet der Wissensaustausch im Büro?,"['💙 Besuche in Köln\nWas genau ist damit gemeint?\nAls Remote Company lieben wir die Flexibilität und Effizienz, die wir durch das Arbeiten von überall aus\nerreichen können. Aber, wir wissen auch, dass echte, persönliche Treffen unbezahlbar sind!\nDeshalb haben wir beschlossen, euch die Möglichkeit zu geben, auch mal im Büro vorbeizuschauen – und das\nBeste daran? Wir übernehmen alle Kosten für eure Reise und eure Übernachtung!\nSollte euch also Zuhause die Decke auf den Kopf fallen, schreibt Phillip oder Michaela an, wir buchen\nUnterkunft und Zugticket & Lets go!\nFalls Du nach Absprache mit Phillip oder Michaela Deine Zugfahrt selbst buchst, beachte bitte die Regeln für\nDienstreisen.\nIn diesem Sinne:\xa0it remote, but don’t forget to meet!\nWarum machen wir das?\nWir haben eine tolle Unternehmenskultur, und wir wollen, dass du voll davon profitierst und daran teilhaben\nkannst! Deshalb laden wir dich herzlich ein, hin und wieder ins Büro zu kommen.\xa0\nWarum solltest du diese Chance nicht verpassen? Hier sind ein paar Gründe:\n1. Gemeinschaft erleben: Im Büro kannst du unsere \xa0Teamkultur spüren! Gemeinsames Lachen, fachsimpeln\nund quatschen – das ist einfach unbezahlbar.\n2. Echte Connections: Nichts geht über face-to-face Interaktionen! Persönliche Treffen stärken unsere\nBindung und lassen uns noch besser zusammenwachsen.\n3. Kreativität: Ideen sprudeln im persönlichen Austausch viel besser! Wir können gemeinsam brainstormen\nund so geniale Lösungen finden.\n4. Work-Life-Balance: Ein kleiner Tapetenwechsel kann Wunder wirken! Ab und zu im Büro zu sein, gibt dir\neine neue Perspektive und frische Energie.\n5. Wissensaustausch: Im Büro haben wir die perfekte Umgebung für spannende Workshops und Schulungen,\nbei denen du dein Wissen erweitern kannst.\nLass dir diese Gelegenheit nicht entgehen, Teil unserer Unternehmenskultur zu sein! Du bist ein wichtiger Teil\nunseres Teams, und wir freuen uns riesig darauf, dich persönlich zu sehen.\nAlso, pack deine Taschen und ab nach Kölle!\xa0\nWir sehen uns im Büro!\n26.07.24, 11:33\nfile:///home/andreas/Dokumente/Skillbyte/html/besuche-in-koln.md.html\n1/1']","Im Büro haben wir die perfekte Umgebung für spannende Workshops und Schulungen, bei denen du dein Wissen erweitern kannst.",simple,"[{'source': './test_dataset/besuche-in-koln.md.pdf', 'file_path': './test_dataset/besuche-in-koln.md.pdf', 'page': 1, 'total_pages': 1, 'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Chromium', 'producer': 'Skia/PDF m126', 'creationDate': ""D:20240726093349+00'00'"", 'modDate': ""D:20240726093349+00'00'"", 'trapped': ''}]",True
Wo findet man den Anmeldelink für den Urban Sports Club?,"['Anmelden könnt ihr euch unter dem folgenden Link:\nhttps://urbansportsclub.com/de/skillbyte\nAnders als zum Beispiel beim Jobrad, könnt ihr das Angebot auch währen der Probezeit nutzen.\nWICHTIG!oder kündigt ihr eure Mitgliedschaft im Urban Sports Club müsst ihr dies Michaela melden.\nBei Fragen an Michaela wenden (michaela.gabelt@skillbyte.de).\n26.07.24, 11:33\nfile:///home/andreas/Dokumente/Skillbyte/html/urban-sports-mitgliedschaft.md.html\n2/2']",Der Anmeldelink für den Urban Sports Club findet sich unter https://urbansportsclub.com/de/skillbyte.,simple,"[{'source': './test_dataset/urban-sports-mitgliedschaft.md.pdf', 'file_path': './test_dataset/urban-sports-mitgliedschaft.md.pdf', 'page': 2, 'total_pages': 2, 'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Chromium', 'producer': 'Skia/PDF m126', 'creationDate': ""D:20240726093357+00'00'"", 'modDate': ""D:20240726093357+00'00'"", 'trapped': ''}]",True
Was ermöglicht das unkomplizierte Arbeiten im EU-Ausland?,"['maßgeblich darüber wie erfolgreich deine Zeit in diesem Projekt wird. Auch hier gilt es, dass du bitte\neigenverantwortlich handelst und deine Entscheidung überlegt triffst.\n180 Tage Regelung\nWir hätten es am liebsten so, dass wir euch nicht vorschreiben wie lange ihr euch im EU-Ausland aufhaltet.\nJedoch spielt der Fiskus eine entscheidende Rolle in der 180 Tage Regelung.\nWas besagt die 180 Tage Regelung & Wo ist der Sinn dahinter?\nDie 180 Tage Regelung besagt, dass Deutsche Arbeitnehmer nicht länger als 180 Tage im EU-Ausland arbeiten\ndürfen, wenn sie nicht steuerrechtlich und arbeitsrechtlich als Teil des Landes gelten wollen in dem sie Ihre Zeit\nverbracht haben.\nDie 180 Tage bilden die hälfte des Jahres ab (ist also nicht einfach eine random Zahl). Wenn diese überschritten\nwird, kommt es zu hohem bürokratischem Aufwand und Kosten, für euch und für skillybte, da wir doppelt\nSozialabgaben bzw. Steuern zahlen müssten. Außerdem würden dann die arbeitsrechtlichen Gesetze aus dem\nLand gelten in dem ihr seid.\nUnter 180 Tage ist das EU-Weit jedoch kein Problem, da es dort eine abkommen zwischen den Ländern gibt,\nwelches unkompliziertes Arbeiten aus dem Ausland möglich macht.\nDas bedeutet leider auch für uns, dass es nicht möglich ist außerhalb der EU zu arbeiten. Bitte berücksichtige\ndies in deiner Planung.\n26.07.24, 11:33\nfile:///home/andreas/Dokumente/Skillbyte/html/arbeiten-aus-dem-ausland.md.html\n2/2']","Das unkomplizierte Arbeiten im EU-Ausland wird durch ein Abkommen zwischen den Ländern ermöglicht, das es erlaubt, unter 180 Tagen ohne bürokratische Hürden zu arbeiten.",simple,"[{'source': './test_dataset/arbeiten-aus-dem-ausland.md.pdf', 'file_path': './test_dataset/arbeiten-aus-dem-ausland.md.pdf', 'page': 2, 'total_pages': 2, 'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Chromium', 'producer': 'Skia/PDF m126', 'creationDate': ""D:20240726093348+00'00'"", 'modDate': ""D:20240726093348+00'00'"", 'trapped': ''}]",True
Welche Vorteile bietet das KVB-On-Demand-Angebot Isi für die Nutzer?,"['🚅 Jobticket\nWas kann das Jobticket?\nMit Einführung des Deutschlandtickets können wir das Job-Ticket nun für alle anbieten.dem KVB-\nDeutschlandticket als JobTicket könnt ihr deutschlandweit Bus und Bahn im Nahverkehr in der 2. Klasse\nnutzen.\xa0\nFür die Kölner Nutzer:\nDas KVB-Deutschlandticket-Modell auf der VRS-Chipkarte bieten Ihren Mitarbeitenden zusätzlich folgende\nVorteile:\n30 Freiminuten je Fahrt mit dem KVB-Rad\n90 Freiminuten je Woche für das KVB-Lastenrad\nVorteile beim Carsharing-Anbieter cambio (Wegfall der Anmeldegebühr von 30 Euro, 10% Rabatt auf den\nZeitpreis)\nAuch das KVB-On-Demand-Angebot Isi ist tagsüber inklusive.gibt es hier eine Änderung zum\nVorgängermodell:einer weiteren Person oder auch eines Fahrrads ist nun nicht mehr möglich.unter 6 Jahren\nkönnt ihr weiterhin mitnehmen.Kosten für das Job-Ticket werden von skillbyte voll übernommen.\n26.07.24, 11:33\nfile:///home/andreas/Dokumente/Skillbyte/html/jobticket.md.html\n1/1']",Das KVB-On-Demand-Angebot Isi ist tagsüber inklusive.,simple,"[{'source': './test_dataset/jobticket.md.pdf', 'file_path': './test_dataset/jobticket.md.pdf', 'page': 1, 'total_pages': 1, 'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Chromium', 'producer': 'Skia/PDF m126', 'creationDate': ""D:20240726093353+00'00'"", 'modDate': ""D:20240726093353+00'00'"", 'trapped': ''}]",True
