question,contexts,ground_truth,evolution_type,metadata,episode_done
"Warum ist es wichtig, den Kunden über eine Krankheit zu informieren?","['🤒 Bei Krankheit\nBei wem & wann muss ich mich melden?\nKrank ist jeder mal! Wir wollen, dass Du Dich ausruhst wenn Du krank bist. Für uns ist es sehr wichtig, dass Du\nDich vollständig erholen kannst.\n1. Back Office und Teamleads\nMelde Dich bitte, sobald Du dich nicht in der Lage fühlst zu arbeiten, an Michaela ( personal@skillbyte.de\n), sodass wir Bescheid wissen. Deine Krankheitstage werden dann in Moco erfasst. Nimm bitte auch\ndein/e Teamleads mit in cc, wenn du dich krankmeldest.\nSobald du ein Attest hast und du somit weißt wie lange du ausfällst, teile es Michaela bitte mit.\n2. Beim Kunden\nNicht weniger wichtig ist es auch beim Kunden Bescheid zu geben, dass Du krank bist und das natürlich\nauch direkt von Tag 1 an. Damit der Kunde darüber informiert ist, dass Du das Projekt vorerst nicht weiter\nUnterstützen kann.\nSobald du ein Attest hast, teile bitte deine Ausfallzeit deinem Kunden mit, damit dieser vernünftig planen\nkann.\nAb wann brauche ich ein Attest?\nZum Arzt geht keiner gern… Jedoch brauchen wir ab einem gewissen Zeitpunkt ein Attest von dir.\nEin Attest brauchst du spätestens ab dem dritten Krankheitstag, jedoch behalten wir uns vor dies auch früher\nanzufordern. Meldest du dich am Freitag krank musst du Montag ein Attest vorlegen.\nBitte melde deine Krankheitstag dann auch an Michaela ( personal@skillbyte.de), weil wir es für unsere Back\nOffice Prozesse benötigen.\nRückmeldung (Wichtig)\nWenn du wieder Gesund bist…ist auch, dass du dich wieder zurückmeldest wenn du wieder gesund bist.auch\neine Nachricht an\xa0personal@skillbyte.de und an deinem Teamlead.du gerade aktiv im L&D bist, bitte auch eine\nkurze Rückmeldung an Kevin.\n26.07.24, 11:33\nfile:///home/andreas/Dokumente/Skillbyte/html/bei-krankheit.md.html\n1/1']","Es ist wichtig, den Kunden über eine Krankheit zu informieren, damit dieser darüber Bescheid weiß, dass Du das Projekt vorerst nicht weiter unterstützen kannst. Dies sollte direkt ab dem ersten Krankheitstag geschehen, um dem Kunden zu ermöglichen, vernünftig zu planen.",simple,"[{'source': './test_dataset/bei-krankheit.md.pdf', 'file_path': './test_dataset/bei-krankheit.md.pdf', 'page': 1, 'total_pages': 1, 'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Chromium', 'producer': 'Skia/PDF m126', 'creationDate': ""D:20240726093349+00'00'"", 'modDate': ""D:20240726093349+00'00'"", 'trapped': ''}]",True
Was ermöglicht das unkomplizierte Arbeiten im EU-Ausland?,"['maßgeblich darüber wie erfolgreich deine Zeit in diesem Projekt wird. Auch hier gilt es, dass du bitte\neigenverantwortlich handelst und deine Entscheidung überlegt triffst.\n180 Tage Regelung\nWir hätten es am liebsten so, dass wir euch nicht vorschreiben wie lange ihr euch im EU-Ausland aufhaltet.\nJedoch spielt der Fiskus eine entscheidende Rolle in der 180 Tage Regelung.\nWas besagt die 180 Tage Regelung & Wo ist der Sinn dahinter?\nDie 180 Tage Regelung besagt, dass Deutsche Arbeitnehmer nicht länger als 180 Tage im EU-Ausland arbeiten\ndürfen, wenn sie nicht steuerrechtlich und arbeitsrechtlich als Teil des Landes gelten wollen in dem sie Ihre Zeit\nverbracht haben.\nDie 180 Tage bilden die hälfte des Jahres ab (ist also nicht einfach eine random Zahl). Wenn diese überschritten\nwird, kommt es zu hohem bürokratischem Aufwand und Kosten, für euch und für skillybte, da wir doppelt\nSozialabgaben bzw. Steuern zahlen müssten. Außerdem würden dann die arbeitsrechtlichen Gesetze aus dem\nLand gelten in dem ihr seid.\nUnter 180 Tage ist das EU-Weit jedoch kein Problem, da es dort eine abkommen zwischen den Ländern gibt,\nwelches unkompliziertes Arbeiten aus dem Ausland möglich macht.\nDas bedeutet leider auch für uns, dass es nicht möglich ist außerhalb der EU zu arbeiten. Bitte berücksichtige\ndies in deiner Planung.\n26.07.24, 11:33\nfile:///home/andreas/Dokumente/Skillbyte/html/arbeiten-aus-dem-ausland.md.html\n2/2']","Das unkomplizierte Arbeiten im EU-Ausland wird durch ein Abkommen zwischen den Ländern ermöglicht, das es erlaubt, unter 180 Tagen ohne bürokratische Hürden zu arbeiten.",simple,"[{'source': './test_dataset/arbeiten-aus-dem-ausland.md.pdf', 'file_path': './test_dataset/arbeiten-aus-dem-ausland.md.pdf', 'page': 2, 'total_pages': 2, 'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Chromium', 'producer': 'Skia/PDF m126', 'creationDate': ""D:20240726093348+00'00'"", 'modDate': ""D:20240726093348+00'00'"", 'trapped': ''}]",True
Unter welchen Bedingungen gilt die Reisezeit als Arbeitszeit während einer Dienstreise?,"['✈️ Dienstreisen\nWas ist eine Dienstreise?\nDienstreisen kommen immer weniger vor bei skillbyte, dennoch kann es sein, dass Du mal eine machen musst.\nWir lehnen alle Angebote mit regelmäßiger vor Ort Zeit ab. Jedoch kann der Kunde durchaus verlangen, dass Du\nmal für ein wichtiges KickOff Meeting oder ein paar Tage für das Onboarding beim Kunden vor Ort bist. Solltest\nDu mehr vor Ort Zeit wollen beim Kunden, dann sag einfach Bescheid, andererseits gehen wir davon aus, dass\ndu es nicht möchtest.\nEine Dienstreise beschreibt deine Fahrt zum Kunden, welche immer mit einer vor Ort Zeit beim Kunden\nverbunden ist. Teil deiner Dienstreise sind oft auch Hotelübernachtungen. Selbstverständlich, trägt skillbyte alle\nKosten die für das Hotel und die Fahrt anfallen.\nDie Dienstreise kann nur dann als Arbeitszeit gelten, wenn Du während der Dienstreise arbeiten kannst und dem\nKunden dies auch in Rechnung stellen kannst.\nAnreise:\nWenn ihr mit der Bahn anreist und dabei arbeiten könnt, gilt die Reisezeit auch als Arbeitszeit. Reisen mit dem\nAuto zählen nicht als Arbeitszeit, ausser ihr werdet ausdrücklich dazu aufgefordert mit dem Auto anzureisen.\nAlso wenn ihr produktiv arbeitet, gilt die Reisezeit als Arbeitszeit, ansonsten nicht.\nErstattungen\nReist ihr mit dem Auto an, bekommt ihr die gesetzlich festgelegte Kilometerpauschale erstattet. Umfasst eure\nDienstreise Übernachtungen bekommt ihr hierfür den Verpflegungsmehraufwand erstattet. Hierbei handelt es\nsich auch um eine Pauschale, mit der Kosten für Verpflegung abgedeckt sind. Diese müsst ihr dann über\nSpendesk geltend machen. Dort bitte auch die Rechnung hochladen.\nDie Kosten werden euch dann spätestens mit der Gehaltszahlung erstattet\nRechnung für ein Ticket bei der Deutschen Bahn\nDie Rechnung für das Bahnticket kann man sich direkt auf der Buchungsbestätigungsseite runterladen. Hierzu\nbenötigt man auch keinen Account.\nDanach geht es nur noch mit Account (mit der selben e-Mailadresse wie bei der Buchung):\nLade Dir auf der Website im Bereich „Meine Reisen” das Rechnungsdokument zu Ihrem Auftrag über den\nButton „Rechnung als PDF” herunter.\nIn der App kannst Du im Bereich „Meine Reisen” das Rechnungsdokument zu Deinem Auftrag im Reiseplan\nunter dem Aktionsfeld “Weitere Aktionen” herunterladen.\nDie Rechnungsadresse:\nskillbyte GmbH Köln\n26.07.24, 11:33\nfile:///home/andreas/Dokumente/Skillbyte/html/dienstreisen.md.html\n1/2']","Die Reisezeit gilt als Arbeitszeit, wenn Du während der Dienstreise arbeiten kannst und dem Kunden dies auch in Rechnung stellen kannst. Wenn ihr mit der Bahn anreist und dabei arbeiten könnt, gilt die Reisezeit auch als Arbeitszeit. Reisen mit dem Auto zählen nicht als Arbeitszeit, außer ihr werdet ausdrücklich dazu aufgefordert mit dem Auto anzureisen.",simple,"[{'source': './test_dataset/dienstreisen.md.pdf', 'file_path': './test_dataset/dienstreisen.md.pdf', 'page': 1, 'total_pages': 2, 'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Chromium', 'producer': 'Skia/PDF m126', 'creationDate': ""D:20240726093350+00'00'"", 'modDate': ""D:20240726093350+00'00'"", 'trapped': ''}]",True
Warum sind echte Connections wichtig für die Teamkultur?,"['💙 Besuche in Köln\nWas genau ist damit gemeint?\nAls Remote Company lieben wir die Flexibilität und Effizienz, die wir durch das Arbeiten von überall aus\nerreichen können. Aber, wir wissen auch, dass echte, persönliche Treffen unbezahlbar sind!\nDeshalb haben wir beschlossen, euch die Möglichkeit zu geben, auch mal im Büro vorbeizuschauen – und das\nBeste daran? Wir übernehmen alle Kosten für eure Reise und eure Übernachtung!\nSollte euch also Zuhause die Decke auf den Kopf fallen, schreibt Phillip oder Michaela an, wir buchen\nUnterkunft und Zugticket & Lets go!\nFalls Du nach Absprache mit Phillip oder Michaela Deine Zugfahrt selbst buchst, beachte bitte die Regeln für\nDienstreisen.\nIn diesem Sinne:\xa0it remote, but don’t forget to meet!\nWarum machen wir das?\nWir haben eine tolle Unternehmenskultur, und wir wollen, dass du voll davon profitierst und daran teilhaben\nkannst! Deshalb laden wir dich herzlich ein, hin und wieder ins Büro zu kommen.\xa0\nWarum solltest du diese Chance nicht verpassen? Hier sind ein paar Gründe:\n1. Gemeinschaft erleben: Im Büro kannst du unsere \xa0Teamkultur spüren! Gemeinsames Lachen, fachsimpeln\nund quatschen – das ist einfach unbezahlbar.\n2. Echte Connections: Nichts geht über face-to-face Interaktionen! Persönliche Treffen stärken unsere\nBindung und lassen uns noch besser zusammenwachsen.\n3. Kreativität: Ideen sprudeln im persönlichen Austausch viel besser! Wir können gemeinsam brainstormen\nund so geniale Lösungen finden.\n4. Work-Life-Balance: Ein kleiner Tapetenwechsel kann Wunder wirken! Ab und zu im Büro zu sein, gibt dir\neine neue Perspektive und frische Energie.\n5. Wissensaustausch: Im Büro haben wir die perfekte Umgebung für spannende Workshops und Schulungen,\nbei denen du dein Wissen erweitern kannst.\nLass dir diese Gelegenheit nicht entgehen, Teil unserer Unternehmenskultur zu sein! Du bist ein wichtiger Teil\nunseres Teams, und wir freuen uns riesig darauf, dich persönlich zu sehen.\nAlso, pack deine Taschen und ab nach Kölle!\xa0\nWir sehen uns im Büro!\n26.07.24, 11:33\nfile:///home/andreas/Dokumente/Skillbyte/html/besuche-in-koln.md.html\n1/1']","Echte Connections sind wichtig für die Teamkultur, weil persönliche Treffen unsere Bindung stärken und uns helfen, noch besser zusammenzuwachsen. Nichts geht über face-to-face Interaktionen!",simple,"[{'source': './test_dataset/besuche-in-koln.md.pdf', 'file_path': './test_dataset/besuche-in-koln.md.pdf', 'page': 1, 'total_pages': 1, 'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Chromium', 'producer': 'Skia/PDF m126', 'creationDate': ""D:20240726093349+00'00'"", 'modDate': ""D:20240726093349+00'00'"", 'trapped': ''}]",True
Welche steuerrechtlichen und arbeitsrechtlichen Aspekte sind bei der 180 Tage Regelung zu beachten?,"['maßgeblich darüber wie erfolgreich deine Zeit in diesem Projekt wird. Auch hier gilt es, dass du bitte\neigenverantwortlich handelst und deine Entscheidung überlegt triffst.\n180 Tage Regelung\nWir hätten es am liebsten so, dass wir euch nicht vorschreiben wie lange ihr euch im EU-Ausland aufhaltet.\nJedoch spielt der Fiskus eine entscheidende Rolle in der 180 Tage Regelung.\nWas besagt die 180 Tage Regelung & Wo ist der Sinn dahinter?\nDie 180 Tage Regelung besagt, dass Deutsche Arbeitnehmer nicht länger als 180 Tage im EU-Ausland arbeiten\ndürfen, wenn sie nicht steuerrechtlich und arbeitsrechtlich als Teil des Landes gelten wollen in dem sie Ihre Zeit\nverbracht haben.\nDie 180 Tage bilden die hälfte des Jahres ab (ist also nicht einfach eine random Zahl). Wenn diese überschritten\nwird, kommt es zu hohem bürokratischem Aufwand und Kosten, für euch und für skillybte, da wir doppelt\nSozialabgaben bzw. Steuern zahlen müssten. Außerdem würden dann die arbeitsrechtlichen Gesetze aus dem\nLand gelten in dem ihr seid.\nUnter 180 Tage ist das EU-Weit jedoch kein Problem, da es dort eine abkommen zwischen den Ländern gibt,\nwelches unkompliziertes Arbeiten aus dem Ausland möglich macht.\nDas bedeutet leider auch für uns, dass es nicht möglich ist außerhalb der EU zu arbeiten. Bitte berücksichtige\ndies in deiner Planung.\n26.07.24, 11:33\nfile:///home/andreas/Dokumente/Skillbyte/html/arbeiten-aus-dem-ausland.md.html\n2/2']","Die 180 Tage Regelung besagt, dass Deutsche Arbeitnehmer nicht länger als 180 Tage im EU-Ausland arbeiten dürfen, wenn sie nicht steuerrechtlich und arbeitsrechtlich als Teil des Landes gelten wollen, in dem sie ihre Zeit verbracht haben. Wenn diese 180 Tage überschritten werden, kommt es zu hohem bürokratischem Aufwand und Kosten, da doppelt Sozialabgaben bzw. Steuern gezahlt werden müssen und die arbeitsrechtlichen Gesetze des Landes gelten, in dem man sich befindet.",simple,"[{'source': './test_dataset/arbeiten-aus-dem-ausland.md.pdf', 'file_path': './test_dataset/arbeiten-aus-dem-ausland.md.pdf', 'page': 2, 'total_pages': 2, 'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Chromium', 'producer': 'Skia/PDF m126', 'creationDate': ""D:20240726093348+00'00'"", 'modDate': ""D:20240726093348+00'00'"", 'trapped': ''}]",True
Was braucht man für Auto-Dienstreise-Erstattungen?,"['✈️ Dienstreisen\nWas ist eine Dienstreise?\nDienstreisen kommen immer weniger vor bei skillbyte, dennoch kann es sein, dass Du mal eine machen musst.\nWir lehnen alle Angebote mit regelmäßiger vor Ort Zeit ab. Jedoch kann der Kunde durchaus verlangen, dass Du\nmal für ein wichtiges KickOff Meeting oder ein paar Tage für das Onboarding beim Kunden vor Ort bist. Solltest\nDu mehr vor Ort Zeit wollen beim Kunden, dann sag einfach Bescheid, andererseits gehen wir davon aus, dass\ndu es nicht möchtest.\nEine Dienstreise beschreibt deine Fahrt zum Kunden, welche immer mit einer vor Ort Zeit beim Kunden\nverbunden ist. Teil deiner Dienstreise sind oft auch Hotelübernachtungen. Selbstverständlich, trägt skillbyte alle\nKosten die für das Hotel und die Fahrt anfallen.\nDie Dienstreise kann nur dann als Arbeitszeit gelten, wenn Du während der Dienstreise arbeiten kannst und dem\nKunden dies auch in Rechnung stellen kannst.\nAnreise:\nWenn ihr mit der Bahn anreist und dabei arbeiten könnt, gilt die Reisezeit auch als Arbeitszeit. Reisen mit dem\nAuto zählen nicht als Arbeitszeit, ausser ihr werdet ausdrücklich dazu aufgefordert mit dem Auto anzureisen.\nAlso wenn ihr produktiv arbeitet, gilt die Reisezeit als Arbeitszeit, ansonsten nicht.\nErstattungen\nReist ihr mit dem Auto an, bekommt ihr die gesetzlich festgelegte Kilometerpauschale erstattet. Umfasst eure\nDienstreise Übernachtungen bekommt ihr hierfür den Verpflegungsmehraufwand erstattet. Hierbei handelt es\nsich auch um eine Pauschale, mit der Kosten für Verpflegung abgedeckt sind. Diese müsst ihr dann über\nSpendesk geltend machen. Dort bitte auch die Rechnung hochladen.\nDie Kosten werden euch dann spätestens mit der Gehaltszahlung erstattet\nRechnung für ein Ticket bei der Deutschen Bahn\nDie Rechnung für das Bahnticket kann man sich direkt auf der Buchungsbestätigungsseite runterladen. Hierzu\nbenötigt man auch keinen Account.\nDanach geht es nur noch mit Account (mit der selben e-Mailadresse wie bei der Buchung):\nLade Dir auf der Website im Bereich „Meine Reisen” das Rechnungsdokument zu Ihrem Auftrag über den\nButton „Rechnung als PDF” herunter.\nIn der App kannst Du im Bereich „Meine Reisen” das Rechnungsdokument zu Deinem Auftrag im Reiseplan\nunter dem Aktionsfeld “Weitere Aktionen” herunterladen.\nDie Rechnungsadresse:\nskillbyte GmbH Köln\n26.07.24, 11:33\nfile:///home/andreas/Dokumente/Skillbyte/html/dienstreisen.md.html\n1/2']","Um eine Erstattung für eine Auto-Dienstreise zu erhalten, bekommt man die gesetzlich festgelegte Kilometerpauschale erstattet. Diese muss über Spendesk geltend gemacht werden, und man muss die Rechnung hochladen.",reasoning,"[{'source': './test_dataset/dienstreisen.md.pdf', 'file_path': './test_dataset/dienstreisen.md.pdf', 'page': 1, 'total_pages': 2, 'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Chromium', 'producer': 'Skia/PDF m126', 'creationDate': ""D:20240726093350+00'00'"", 'modDate': ""D:20240726093350+00'00'"", 'trapped': ''}]",True
Was strebt L&D bzgl. Skill-Förderung an?,"['#1 Die ersten News!\n17. April 2023\nLiebes Team,\nab sofort möchten wir 1x im Monat einen Newsletter verschicken, der euch über wichtige Begebenheiten\ninformiert. Ursprünglich war dafür das letzte Freitagsmeeting im Monat angedacht. Doch mit der zunehmenden\nMitarbeiterzahl wird es schwieriger, da nicht immer alle anwesend sein können. Um sicherzustellen, dass\nInformationen nicht verloren gehen, haben wir uns für diesen Weg entschieden.\nVersandzeitpunkt: Grundsätzlich am Ende des Monats, jedoch wird es aus gegebenem Anlass dieses Mal\nvorgezogen.\nLegende\n👨🏼\u200d🦰 Personelle Veränderungen\n👉 Generelle Informationen\n🎉 Achievements\n💣 Breaking News\nPersonelle Veränderungen & Breaking News\nFür die Big Data Abteilung konnten wir Max und Andreas als Nachfolger gewinnen, die ab sofort die\nAufgaben von Maurice übernehmen. Sie werden sich zeitnah mit den einzelnen Kollegen aus der\nAbteilung austauschen. Herzlichen Dank an Max und Andreas für die Übernahme.\nGenerelle Informationen\nWir arbeiten jetzt an der Ausarbeitung von “Bench Development” und “Learning & Development\n(L&D)”. Ziel ist es, einen Plan zur Bildung und Förderung bestimmter Skills zu haben und einen Ansatz\nfür die Fortbildung junger oder junger Mitarbeiter zu entwickeln. Ceyhan wird sich verantwortlich um\ndieses Thema kümmern – vielen Dank dafür, Ceyhan!\nExali (IT Haftpflicht) wurde als Content Partner für GravityCV gewonnen. Es wird eine gegenseitige\nContentgenerierung geben, beginnend mit Features in unseren jeweiligen Podcast-Serien.\nDie Fortführung der skillbyte Podcasts ist geplant, allerdings mit niedrigerer Frequenz als bisher. Ideen\nund Mitwirkende sind herzlich willkommen.\nUnsere Bemühungen, über LinkedIn neue Kunden zu gewinnen, waren bislang nicht so erfolgreich. Wir\nplanen, 2023 mehr auf Content und Authority Marketing zu setzen, um unsere Sichtbarkeit zu erhöhen.\nAchievements\nMihail hat das CKA Zertifikat erfolgreich absolviert und die Prüfung bestanden. Herzlichen\nGlückwunsch, Mihail!\nPersonelle Veränderungen & Breaking News\nLeider wird uns Atti verlassen. Die Entfernung zum Office ist für den Wunsch nach mehr Büroarbeit zu\ngroß. Wir sind sehr traurig über diesen Weggang, wünschen Atti aber alles Gute für die Zukunft.\n26.07.24, 11:33\nfile:///home/andreas/Dokumente/Skillbyte/html/1-die-ersten-news.md.html\n1/2']","L&D strebt an, einen Plan zur Bildung und Förderung bestimmter Skills zu haben und einen Ansatz für die Fortbildung junger oder junger Mitarbeiter zu entwickeln.",reasoning,"[{'source': './test_dataset/1-die-ersten-news.md.pdf', 'file_path': './test_dataset/1-die-ersten-news.md.pdf', 'page': 1, 'total_pages': 2, 'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Chromium', 'producer': 'Skia/PDF m126', 'creationDate': ""D:20240726093344+00'00'"", 'modDate': ""D:20240726093344+00'00'"", 'trapped': ''}]",True
Wie sichert skillbyte das Mitarbeiterwohl bei Überstunden?,"['😵 Überstunden\nUnsere Einstellung zu Überstunden\nÜberstunden bei skillbyte sind eher Ausnahme und das soll auch so bleiben!\nSind es wirklich nur Ausnahmen?\nGanz klares ja, der Großteil unseres Teams macht keine Überstunden. Das bedeutet nicht, dass es zu\nProjektspitzen nicht zu ein paar Überstunden kommen könnte, aber es bleibt dennoch eher eine Ausnahme als die\nRegel. Auch für diese Fälle ist gesorgt, wie du im nächsten Topic sehen wirst.\nWas ist, wenn der Kunde dauerhaft\xa0Überstunden fordert?\nDu bist Teil der skillbyte und das bedeutet, dass kein Kunde der Welt von dir dauerhaft Überstunden einfordern\ndarf.\nWas bedeutet das konkret für dich und wie sollst du dich verhalten, wenn dieser Fall eintreten sollte?\nGanz einfach, wende dich an deine Teamleads und teile ihnen mit, wenn du zu stark beanspruchst wirst. Diese\nwenden sich dann an Phillip oder Masiar (je nach Kundenzugehörigkeit) und teilen dem Kunden mit, dass er dies\nbitte unterlassen soll. Wir schrecken keinesfalls davor zurück, wenn sich der Kunde nicht einsichtig zeigt, das\nProjekt platzen zu lassen. Euer Wohlbefinden steht ganz oben auf unserer Prioritätenliste, dafür lassen wir auch\nGeld liegen.\n100% Überstunden Bezahlung\nBei skillbyte werden alle Überstunden bezahlt oder kompensiert, alles andere wäre unserer Meinung nach nicht\nfair.\nDu entscheidest, ob du deine Überstunden lieber ausgezahlt bekommst oder sie mit freier Zeit abbummeln\nmöchtest. Beide Varianten sind für uns vollkommen fein!\nDu trägst deine Überstunden einfach mit in Moco ein. Bitte beachte dabei, sofern du keine internen Aufgaben\nhast, dass deine Überstunden auch beim Kunden gebucht sein müssen.\n26.07.24, 11:33\nfile:///home/andreas/Dokumente/Skillbyte/html/uberstunden.md.html\n1/1']","Skillbyte sichert das Mitarbeiterwohl bei Überstunden, indem kein Kunde dauerhaft Überstunden von den Mitarbeitern einfordern darf. Mitarbeiter sollen sich an ihre Teamleads wenden, wenn sie zu stark beansprucht werden, und die Teamleads kommunizieren dann mit dem Kunden. Das Wohlbefinden der Mitarbeiter hat höchste Priorität, und skillbyte ist bereit, Projekte abzubrechen, wenn der Kunde nicht einsichtig ist. Zudem werden alle Überstunden bezahlt oder kompensiert, und die Mitarbeiter können entscheiden, ob sie die Überstunden ausgezahlt bekommen oder mit freier Zeit abbummeln möchten.",reasoning,"[{'source': './test_dataset/uberstunden.md.pdf', 'file_path': './test_dataset/uberstunden.md.pdf', 'page': 1, 'total_pages': 1, 'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Chromium', 'producer': 'Skia/PDF m126', 'creationDate': ""D:20240726093357+00'00'"", 'modDate': ""D:20240726093357+00'00'"", 'trapped': ''}]",True
Welche neuen Schritte für GravityCV im Digital Model Office?,"['Bei unserem 3. Termin mit Hays wegen GravityCV konnten wir weitere Fortschritte erzielen. Die neue\nAbteilung von Hays, das Digital Model Office, wird mit uns tiefer in das Thema GravityCV einsteigen.\nNächste Woche ist die Unterzeichnung eines gemeinsamen NDA geplant.\nWenn ihr Feedback zum Newsletter habt – ob zu kurz, zu lang, oder unnötig – lasst es uns bitte wissen.\nLiebe Grüße,\n26.07.24, 11:33\nfile:///home/andreas/Dokumente/Skillbyte/html/1-die-ersten-news.md.html\n2/2']","Die neuen Schritte für GravityCV im Digital Model Office beinhalten, dass die neue Abteilung von Hays tiefer in das Thema GravityCV einsteigen wird.",reasoning,"[{'source': './test_dataset/1-die-ersten-news.md.pdf', 'file_path': './test_dataset/1-die-ersten-news.md.pdf', 'page': 2, 'total_pages': 2, 'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Chromium', 'producer': 'Skia/PDF m126', 'creationDate': ""D:20240726093344+00'00'"", 'modDate': ""D:20240726093344+00'00'"", 'trapped': ''}]",True
Wer muss bei Krankheit informiert werden und wann ist ein Attest nötig?,"['🤒 Bei Krankheit\nBei wem & wann muss ich mich melden?\nKrank ist jeder mal! Wir wollen, dass Du Dich ausruhst wenn Du krank bist. Für uns ist es sehr wichtig, dass Du\nDich vollständig erholen kannst.\n1. Back Office und Teamleads\nMelde Dich bitte, sobald Du dich nicht in der Lage fühlst zu arbeiten, an Michaela ( personal@skillbyte.de\n), sodass wir Bescheid wissen. Deine Krankheitstage werden dann in Moco erfasst. Nimm bitte auch\ndein/e Teamleads mit in cc, wenn du dich krankmeldest.\nSobald du ein Attest hast und du somit weißt wie lange du ausfällst, teile es Michaela bitte mit.\n2. Beim Kunden\nNicht weniger wichtig ist es auch beim Kunden Bescheid zu geben, dass Du krank bist und das natürlich\nauch direkt von Tag 1 an. Damit der Kunde darüber informiert ist, dass Du das Projekt vorerst nicht weiter\nUnterstützen kann.\nSobald du ein Attest hast, teile bitte deine Ausfallzeit deinem Kunden mit, damit dieser vernünftig planen\nkann.\nAb wann brauche ich ein Attest?\nZum Arzt geht keiner gern… Jedoch brauchen wir ab einem gewissen Zeitpunkt ein Attest von dir.\nEin Attest brauchst du spätestens ab dem dritten Krankheitstag, jedoch behalten wir uns vor dies auch früher\nanzufordern. Meldest du dich am Freitag krank musst du Montag ein Attest vorlegen.\nBitte melde deine Krankheitstag dann auch an Michaela ( personal@skillbyte.de), weil wir es für unsere Back\nOffice Prozesse benötigen.\nRückmeldung (Wichtig)\nWenn du wieder Gesund bist…ist auch, dass du dich wieder zurückmeldest wenn du wieder gesund bist.auch\neine Nachricht an\xa0personal@skillbyte.de und an deinem Teamlead.du gerade aktiv im L&D bist, bitte auch eine\nkurze Rückmeldung an Kevin.\n26.07.24, 11:33\nfile:///home/andreas/Dokumente/Skillbyte/html/bei-krankheit.md.html\n1/1']","Bei Krankheit musst du dich an Michaela (personal@skillbyte.de) melden, sobald du dich nicht in der Lage fühlst zu arbeiten. Deine Krankheitstage werden dann in Moco erfasst. Auch dein/e Teamlead sollte in cc genommen werden. Ein Attest ist spätestens ab dem dritten Krankheitstag erforderlich, kann aber auch früher angefordert werden. Wenn du dich am Freitag krankmeldest, musst du am Montag ein Attest vorlegen.",reasoning,"[{'source': './test_dataset/bei-krankheit.md.pdf', 'file_path': './test_dataset/bei-krankheit.md.pdf', 'page': 1, 'total_pages': 1, 'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Chromium', 'producer': 'Skia/PDF m126', 'creationDate': ""D:20240726093349+00'00'"", 'modDate': ""D:20240726093349+00'00'"", 'trapped': ''}]",True
